Unternehmen;Branche;2020;2019;2018;2017;2016;2015;2014;2013;2012;Im Mdax seit
Aareal Bank;Banken;https://www.aareal-bank.com/fileadmin/downloadlist/DAM_Content/IR/Finanzberichte/2020/20201231_gb_de.pdf;https://www.aareal-bank.com/fileadmin/downloadlist/DAM_Content/IR/Finanzberichte/2019/191231_gb_de.pdf;https://www.aareal-bank.com/fileadmin/downloadlist/DAM_Content/PRESS/News/2019/reporting/181231_gb_de.pdf;https://www.aareal-bank.com/fileadmin/user_upload/171231_gb_de.pdf;https://www.aareal-bank.com/fileadmin/downloadlist/DAM_Content/IR/Finanzberichte/2016/161231_gb_de.pdf;https://www.aareal-bank.com/fileadmin/downloadlist/DAM_Content/IR/Finanzberichte/2015/151231_gb_de.pdf;https://www.aareal-bank.com/fileadmin/downloadlist/DAM_Content/IR/Finanzberichte/2014/141231_gb_de.pdf;https://www.aareal-bank.com/fileadmin/downloadlist/DAM_Content/IR/Finanzberichte/2013/131231_gb_de.pdf;https://www.aareal-bank.com/fileadmin/downloadlist/DAM_Content/IR/Finanzberichte/2012/121231_gb_de.pdf;nicht im MDAX
Airbus SE;Luft- und Raumfahrt, R�stung;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/938914.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/938914.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/938914.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2017/938914.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2016/938914.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2015/938914.pdf;https://www.airbus.com/content/dam/corporate-topics/financial-and-company-information/financial-statements-2014.pdf;https://www.airbus.com/content/dam/corporate-topics/financial-and-company-information/eads-financial-statements-2013.pdf;https://www.airbus.com/content/dam/corporate-topics/financial-and-company-information/eads-financial-statements-2012.pdf;24. Mrz 03
Aixtron SE;Maschinenbau, Halbleitertechnik;https://www.aixtron.com/investoren/publikationen/2020/de/Gesch%C3%A4ftsbericht%202020.pdf;https://www.aixtron.com/investoren/publikationen/2019/de/Gesch%C3%A4ftsbericht%202019.pdf;https://www.aixtron.com/investoren/publikationen/2018/de/Gesch%C3%A4ftsbericht%202018.pdf;https://www.aixtron.com/investoren/publikationen/2017/de/Gesch%C3%A4ftsbericht%202017.pdf;https://www.aixtron.com/investoren/publikationen/2016/de/Gesch%C3%A4ftsbericht%202016.pdf;https://www.aixtron.com/investoren/publikationen/2015/de/Gesch%C3%A4ftsbericht%202015.pdf;https://www.aixtron.com/investoren/publikationen/2014/de/Gesch%C3%A4ftsbericht%202014.pdf;https://www.aixtron.com/investoren/publikationen/2013/de/Gesch%C3%A4ftsbericht%202013.pdf;https://www.aixtron.com/investoren/publikationen/2012/de/Gesch%C3%A4ftsbericht%202012.pdf;24. Aug 20
alstria office REIT-AG;Immobilienwirtschaft;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/A0LD2U.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/A0LD2U.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/A0LD2U.pdf;;;;;;;24. Sep 18
Aroundtown S.A.;Immobilien;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/A2DW8Z.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/A2DW8Z.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/A2DW8Z.pdf;;;;;;;19. Mrz 18
Aurubis AG;Grundstoffe (Kupfererzeugung);https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/676650.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/676650.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/676650.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2017/676650.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2016/676650.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2015/676650.pdf;https://www.aurubis.com/binaries/content/assets/aurubisrelaunch/files/finanzberichte-de/2013-14/geschaftsbericht_2013_14.pdf;https://www.aurubis.com/binaries/content/assets/aurubisrelaunch/files/finanzberichte-de/2012-13/geschaftsbericht-2012_13.pdf;https://www.aurubis.com/binaries/content/assets/aurubisrelaunch/files/finanzberichte-de/2011-12/geschaftsbericht_2011_12.pdf;19. Mrz 01
Axel Springer;Medien;;https://www.axelspringer.com/data/uploads/2020/03/geschaeftsbericht_2019-1.pdf;https://www.axelspringer.com/data/uploads/2019/03/Gescha%CC%88ftsbericht-2018.pdf;https://www.axelspringer.com/data/uploads/2018/06/Geschaeftsbericht_2017.pdf;https://www.axelspringer.com/data/uploads/2018/06/Geschaeftsbericht_2016.pdf;https://www.axelspringer.com/data/uploads/2018/06/Axel_Springer_Geschaeftsbericht_2015.pdf;https://www.axelspringer.com/data/uploads/2018/06/Geschaeftsbericht_2014.pdf;https://www.axelspringer.com/data/uploads/2018/06/Geschaeftsbericht_2013.pdf;https://www.axelspringer.com/data/uploads/2018/06/Geschaeftsbericht_2012_Axel_Springer.pdf;nicht im MDAX
Bechtle AG;IT-Dienstleistung;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/515870.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/515870.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/515870.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2017/515870.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2016/515870.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2015/515870.pdf;https://www.bechtle.com/dam/jcr:fc07763a-b457-4bde-a09e-19754945dd1b/geschaeftsbericht_2014.pdf;https://www.bechtle.com/dam/jcr:fd229dea-bfbd-4d4a-a1e3-47fd1ef985e5/bechtle_geschaeftsbericht_2013.pdf;https://www.bechtle.com/dam/jcr:534298a1-9f54-40ed-a4cc-3ecbcbb0dc1b/bechtle_geschaeftsbericht_2012.pdf;24. Sep 18
Beiersdorf;Konsumg�terproduktion;;;;;;;;;;22. Mrz 21
Bilfinger SE;Dienstleistungen;https://www.bilfinger.com/fileadmin/corporate_webseite/investor_relations/berichterstattung/2020/Geschaeftsbericht_2020.pdf;https://www.bilfinger.com/fileadmin/corporate_webseite/investor_relations/berichterstattung/2019/Bilfinger_2019_GB_d_print.pdf;https://www.bilfinger.com/fileadmin/corporate_webseite/investor_relations/berichterstattung/2018/Bilfinger_2018_GB_d_print.pdf;https://www.bilfinger.com/fileadmin/corporate_webseite/investor_relations/berichterstattung/2018/Bilfinger_2017_GB_d_print.pdf;https://www.bilfinger.com/fileadmin/corporate_webseite/investor_relations/berichterstattung/2016/2016_GB_d_Print_170315_a.pdf;https://www.bilfinger.com/fileadmin/corporate_webseite/investor_relations/berichterstattung/2015/GB15_d_komplett_160314-3.pdf;https://www.bilfinger.com/fileadmin/corporate_webseite/investor_relations/ogb/2014/Bilfinger_Geschaeftsbericht_2014.pdf;https://www.bilfinger.com/fileadmin/corporate_webseite/investor_relations/berichterstattung/2013/Bilfinger_gb2013_de.pdf;https://www.bilfinger.com/fileadmin/corporate_webseite/investor_relations/berichterstattung/2012/Bilfinger_GB2012_de.pdf;nicht im MDAX
